Time Stamp,time,P up,P down,T,Water in,Water out,Gas in,MFC measure,MFC set,Gas out,Meter measure,
28:38.8,3.216666709,1799.689781,1679.343352,5.5686,0,0,0,0,0,0,0,15
29:38.8,3.233333376,1800.555982,1679.154457,5.557013,0,0,0,0,0,0,0,16
30:38.8,3.250000043,1800.091931,1679.161185,5.518246,0,0,0,0,0,0,0,17
31:38.8,3.26666671,1800.086964,1679.081426,5.517075,0,0,0,0,0,0,0,18
32:38.8,3.283333377,1800.593533,1678.928411,5.54048,0,0,0,0,0,0,0,19
33:38.8,3.300000044,1800.231792,1678.911692,5.590927,0,0,0,0,0,0,0,0
34:38.8,3.316666711,1799.810288,1678.787207,5.635716,0,0,0,0,0,0,0,1
35:38.8,3.333333378,1799.537709,1678.676526,5.65092,0,0,0,0,0,0,0,2
36:38.8,3.350000045,1800.256372,1678.527598,5.625008,0,0,0,0,0,0,0,3
37:38.8,3.366666712,1800.242297,1678.399924,5.577021,0,0,0,0,0,0,0,4
38:38.8,3.383333379,1799.941469,1678.377399,5.605395,0,0,0,0,0,0,0,5
39:38.8,3.400000046,1799.837592,1678.265921,5.58353,0,0,0,0,0,0,0,6
40:38.8,3.416666713,1799.795333,1678.140066,5.554455,0,0,0,0,0,0,0,7
41:38.8,3.43333338,1799.338963,1678.267815,5.557562,0,0,0,0,0,0,0,8
42:38.8,3.450000047,1799.340161,1678.271353,5.52498,0,0,0,0,0,0,0,9
43:38.8,3.466666714,1799.789984,1678.017798,5.570611,0,0,0,0,0,0,0,10
44:38.8,3.483333381,1799.498637,1677.968014,5.567069,0,0,0,0,0,0,0,11
45:38.8,3.500000048,1799.4666,1677.629867,5.599925,0,0,0,0,0,0,0,12
46:38.8,3.516666715,1799.355215,1677.646537,5.616781,0,0,0,0,0,0,0,13
47:38.8,3.533333382,1799.405026,1677.510042,5.586922,0,0,0,0,0,0,0,14
48:38.8,3.550000049,1799.254237,1677.519062,5.590713,0,0,0,0,0,0,0,15
49:38.8,3.566666716,1799.078798,1677.262493,5.548246,0,0,0,0,0,0,0,16
50:38.8,3.583333383,1799.048849,1677.242509,5.496688,0,0,0,0,0,0,0,17
51:38.8,3.60000005,1798.971003,1677.183656,5.512761,0,0,0,0,0,0,0,18
52:38.8,3.616666717,1798.874544,1677.091538,5.580858,0,0,0,0,0,0,0,19
53:38.8,3.633333384,1798.816301,1677.035076,5.628259,0,0,0,0,0,0,0,0
54:38.8,3.650000051,1798.615895,1676.982526,5.620135,0,0,0,0,0,0,0,1
55:38.8,3.666666718,1798.71931,1676.78207,5.778431,0,0,0,0,0,0,0,2
56:38.8,3.683333385,1799.132328,1676.851937,6.115476,0,0,0,0,0,0,0,3
57:38.8,3.700000052,1799.259725,1676.835367,6.353574,0,0,0,0,0,0,0,4
58:38.8,3.716666719,1799.457069,1677.003681,6.569785,0,0,0,0,0,0,0,5
59:38.8,3.733333386,1799.135748,1676.985541,6.465147,0,0,0,0,0,0,0,6
00:38.8,3.750000053,1798.468745,1676.712328,5.401927,0,0,0,0,0,0,0,7
01:38.8,3.76666672,1797.966432,1676.550268,5.354703,0,0,0,0,0,0,0,8
02:38.8,3.783333387,1797.902159,1676.12556,5.289562,0,0,0,0,0,0,0,9
03:38.8,3.800000054,1797.648745,1675.794414,5.354497,0,0,0,0,0,0,0,10
04:38.8,3.816666721,1797.406647,1675.768924,5.440446,0,0,0,0,0,0,0,11
05:38.8,3.833333388,1797.08104,1675.440295,5.469814,0,0,0,0,0,0,0,12
06:38.8,3.850000055,1797.076153,1675.382663,5.519572,0,0,0,0,0,0,0,13
07:38.8,3.866666722,1797.102558,1675.425171,5.539358,0,0,0,0,0,0,0,14
08:38.8,3.883333389,1797.087021,1675.324955,5.471031,0,0,0,0,0,0,0,15
09:38.8,3.900000056,1796.757522,1675.302231,5.467213,0,0,0,0,0,0,0,16
10:38.8,3.916666723,1796.760952,1675.235678,5.504434,0,0,0,0,0,0,0,17
11:38.8,3.93333339,1796.556971,1675.180263,5.501981,0,0,0,0,0,0,0,18
12:38.8,3.950000057,1796.748752,1675.090238,5.493951,0,0,0,0,0,0,0,19
13:38.8,3.966666724,1796.46691,1675.148593,5.49887,0,0,0,0,0,0,0,0
14:38.8,3.983333391,1796.733663,1675.199748,5.586793,0,0,0,0,0,0,0,1
15:38.8,4.000000058,1796.439522,1675.285487,5.595496,0,0,0,0,0,0,0,2
16:38.8,4.016666725,1796.618336,1675.243726,5.565303,0,0,0,0,0,0,0,3
17:38.8,4.033333392,1796.365156,1675.343742,5.561573,0,0,0,0,0,0,0,4
18:38.8,4.050000059,1796.178248,1675.430852,5.563151,0,0,0,0,0,0,0,5
19:38.8,4.066666726,1796.633147,1675.348228,5.583165,0,0,0,0,0,0,0,6
20:38.8,4.083333393,1796.552855,1675.179864,5.585561,0,0,0,0,0,0,0,7
21:38.8,4.10000006,1796.246966,1675.286434,5.540401,0,0,0,0,0,0,0,8
22:38.8,4.116666727,1796.647788,1675.208219,5.577255,0,0,0,0,0,0,0,9
23:38.8,4.133333394,1796.209107,1675.14964,5.599695,0,0,0,0,0,0,0,10
24:38.8,4.150000061,1796.148488,1675.00116,5.594504,0,0,0,0,0,0,0,11
25:38.8,4.166666728,1796.112508,1675.135512,5.551295,0,0,0,0,0,0,0,12
26:38.8,4.183333395,1795.702101,1674.992315,5.574614,0,0,0,0,0,0,0,13
27:38.8,4.200000062,1796.084453,1674.885695,5.555522,0,0,0,0,0,0,0,14
28:38.8,4.216666729,1795.826565,1674.778328,5.528653,0,0,0,0,0,0,0,15
29:38.8,4.233333396,1795.351482,1674.666177,5.554517,0,0,0,0,0,0,0,16
30:38.8,4.250000063,1795.550148,1674.60847,5.547243,0,0,0,0,0,0,0,17
31:38.8,4.26666673,1795.740153,1674.42558,5.552577,0,0,0,0,0,0,0,18
32:38.8,4.283333397,1795.777346,1674.245331,5.545793,0,0,0,0,0,0,0,19
33:38.8,4.300000064,1795.27207,1674.139584,5.553102,0,0,0,0,0,0,0,0
34:38.8,4.316666731,1794.83935,1674.103604,5.613059,0,0,0,0,0,0,0,1
35:38.8,4.333333398,1794.449236,1673.910074,5.593205,0,0,0,0,0,0,0,2
36:38.8,4.350000065,1794.145336,1673.887201,5.54669,0,0,0,0,0,0,0,3
37:38.8,4.366666732,1795.438729,1673.748414,5.629102,0,0,0,0,0,0,0,4
38:38.8,4.383333399,1795.35622,1673.598788,5.604134,0,0,0,0,0,0,0,5
39:38.8,4.400000066,1795.208458,1673.373763,5.569874,0,0,0,0,0,0,0,6
40:38.8,4.416666733,1795.103438,1673.152078,5.649431,0,0,0,0,0,0,0,7
41:38.8,4.4333334,1795.092405,1673.08246,5.563514,0,0,0,0,0,0,0,8
42:38.8,4.450000067,1795.072221,1673.443256,5.571143,0,0,0,0,0,0,0,9
43:38.8,4.466666734,1794.970909,1673.247833,5.459118,0,0,0,0,0,0,0,10
44:38.8,4.483333401,1794.898328,1673.225956,5.548428,0,0,0,0,0,0,0,11
45:38.8,4.500000068,1794.894157,1673.099204,5.531792,0,0,0,0,0,0,0,12
46:38.9,4.516666735,1794.826612,1673.054553,5.541905,0,0,0,0,0,0,0,13
47:38.9,4.533333402,1794.802068,1673.016181,5.622899,0,0,0,0,0,0,0,14
48:38.9,4.550000069,1794.776971,1672.976563,5.562661,0,0,0,0,0,0,0,15
49:38.9,4.566666736,1794.755831,1672.939013,5.560292,0,0,0,0,0,0,0,16
50:38.9,4.583333403,1794.68254,1672.859777,5.642291,0,0,0,0,0,0,0,17
51:38.9,4.60000007,1794.646292,1672.860276,5.669116,0,0,0,0,0,0,0,18
52:38.9,4.616666737,1794.582178,1672.910259,5.65425,0,0,0,0,0,0,0,19
53:38.9,4.633333404,1794.481502,1672.803415,5.649179,0,0,0,0,0,0,0,0
54:38.9,4.650000071,1794.357783,1672.815999,5.661461,0,0,0,0,0,0,0,1
55:38.9,4.666666738,1794.034817,1672.901364,5.768692,0,0,0,0,0,0,0,2
56:38.9,4.683333405,1793.746333,1673.05388,6.12364,0,0,0,0,0,0,0,3
57:38.9,4.700000072,1793.439634,1672.813258,6.343095,0,0,0,0,0,0,0,4
