Time Stamp,time,P up,P down,T,Water in,Water out,Gas in,Gas out,Meter measure
05:20.7,21.33343333,958.18523,847.310891,6.803785,0,1,0,0.1417791,0
05:30.7,21.50008333,958.241459,847.752518,6.816437,0,1,0,0.1417791,0
05:40.7,21.66676667,958.279417,848.013696,6.832417,0,1,0,0.1417791,0
05:50.7,21.83343333,958.36048,848.72921,6.82048,0,1,0,0.1417791,0
06:00.7,22.0001,958.366893,848.793944,6.829516,0,1,0,0.1417791,0
06:10.7,22.16676667,958.389414,848.633978,6.860525,0,1,0,0.1417791,0
06:20.7,22.33341666,958.4226,848.680323,6.845948,0,1,0,0.1417791,0
06:30.7,22.50011667,958.419095,848.946286,6.859502,0,1,0,0.1417791,0
06:40.7,22.66676667,958.427522,849.162016,6.874673,0,1,0,0.1417791,0
06:50.7,22.83343333,958.465779,849.151252,6.86509,0,1,0,0.1417791,0
07:00.7,23.0001,958.453026,849.192515,6.865471,0,1,0,0.1417791,0
07:10.7,23.16676666,958.48308,848.96901,6.877734,0,1,0,0.1417791,0
07:20.7,23.33344999,958.585172,848.95092,6.820004,0,1,0,0.1417791,0
07:30.7,23.5001,958.665041,849.056319,6.830182,0,1,0,0.1417791,0
07:40.7,23.66678333,958.653631,849.19685,6.85408,0,1,0,0.1417791,0
07:50.7,23.83343334,958.645876,849.282514,6.810871,0,1,0,0.1417791,0
08:00.7,24.00011667,958.690322,817.292962,6.81558,0,1,0,0.1422761,0.1411766
08:10.7,24.16678333,957.773281,787.145566,6.842167,0,1,0,0.1525338,0.01029204
08:20.7,24.33346667,929.931165,740.824516,6.857385,0,1,0,0.1526466,0
08:30.7,24.50011666,908.122787,755.054353,6.861119,0,1,0,0.1526466,0
08:40.7,24.66676667,906.941156,756.657606,6.892815,0,1.7,0,0.1562026,0
08:50.7,24.83345,906.938396,756.139135,6.868181,0,1.5,0,0.1622031,0
09:00.7,25.00011666,906.952044,757.853019,6.871153,0,1,0,0.1712455,0
09:10.7,25.16678334,906.963975,758.597087,6.894669,0,1,0,0.1712455,0
09:20.7,25.33345,907.009913,759.311703,6.897475,0,1,0,0.1712455,0
09:30.7,25.50008334,906.983887,759.814028,6.976335,0,1,0,0.1712455,0
09:40.7,25.66681667,907.048394,760.201834,7.048243,0,1,0,0.1712455,0
09:50.7,25.83346666,907.047051,759.842433,7.058819,0,1,0,0.1712455,0
10:00.7,26.00011667,906.988734,760.286452,7.043322,0,1,0,0.1712455,0
10:10.7,26.16678333,907.079789,761.062215,7.014798,0,1,0,0.1712455,0
10:20.7,26.33345,907.058088,761.407114,6.932615,0,1,0,0.1712455,0
10:30.7,26.50011667,907.103206,761.487546,6.915141,0,1,0,0.1712455,0
10:40.7,26.6668,907.213352,761.210221,6.904251,0,1,0,0.1712455,0
10:50.7,26.83348333,907.249894,761.236384,6.855626,0,1,0,0.1712455,0
11:00.7,27.00011667,907.315966,761.314722,6.855745,0,1,0,0.1712455,0
11:10.7,27.16678333,907.325885,761.275254,6.88076,0,1,0,0.1712455,0
11:20.7,27.33346667,907.342739,761.295885,6.856743,0,1,0,0.1712455,0
11:30.7,27.50013333,907.369511,761.404274,6.854104,0,1,0,0.1712455,0
11:40.7,27.6668,907.456465,761.627479,6.879404,0,1,0,0.1712455,0
11:50.7,27.83346667,907.423428,761.861,6.869251,0,1,0,0.1712455,0
12:00.7,28.00011666,907.433943,761.747828,6.891863,0,1,0,0.1712455,0
12:10.7,28.1668,907.476525,761.707164,6.901632,0,1,0,0.1712455,0
12:20.7,28.33346667,907.565119,761.689522,6.817228,0,1,0,0.1712455,0
12:30.7,28.50013333,907.519629,761.557961,6.835588,0,1,0,0.1712455,0
12:40.7,28.6668,907.564001,761.691316,6.877475,0,1,0,0.1712455,0
12:50.7,28.83345,907.579065,761.788343,6.784742,0,1,0,0.1712455,0
13:00.7,29.00013334,907.58421,761.92409,6.798703,0,1,0,0.1712455,0
13:10.7,29.16681667,907.651327,761.728841,6.859198,0,1,0,0.1712455,0
13:20.7,29.33346666,907.686601,761.661267,6.77725,0,1,0,0.1712455,0
13:30.7,29.50015,907.707929,761.437314,6.764193,0,1,0,0.1712455,0
13:40.7,29.66681667,907.760057,761.354041,6.798227,0,1,0,0.1712455,0
13:50.7,29.83348333,907.770646,761.650652,6.774206,0,1,0,0.1712455,0
14:00.7,30.00015,907.77169,761.501599,6.799297,0,1,0,0.1712455,0
14:10.7,30.1668,907.823221,761.511317,6.812163,0,1,0,0.1712455,0
14:20.7,30.33348334,907.828367,761.546001,6.774278,0,1,0,0.1712455,0
14:30.7,30.50016667,907.805025,761.465719,6.786573,0,1,0,0.1712455,0
14:40.7,30.66683333,907.774301,761.828858,6.82919,0,1,0,0.1712455,0
14:50.7,30.83348334,907.870501,761.42625,6.811806,0,1,0,0.1712455,0
15:00.7,31.00013333,907.795256,761.616865,6.816015,0,1,0,0.1712455,0
15:10.7,31.16681666,907.845295,761.922894,6.839392,0,1,0,0.1712455,0
15:20.7,31.33348333,907.920914,761.803293,6.780675,0,1,0,0.1712455,0
15:30.7,31.50015,907.887281,761.619107,6.808595,0,1,0,0.1712455,0
15:40.7,31.66681667,907.918304,761.950253,6.83152,0,1,0,0.1712455,0
15:50.7,31.83348333,907.950818,761.708808,6.794398,0,1,0,0.1712455,0
16:00.7,32.00015,907.974234,761.756947,6.820629,0,1,0,0.1712455,0
16:10.7,32.16681667,907.973116,761.762928,6.846074,0,1,0,0.1712455,0
16:20.7,32.33348333,908.00302,761.645419,6.813376,0,1,0,0.1712455,0
16:30.7,32.50016666,908.041948,761.872064,6.828904,0,1,0,0.1712455,0
16:40.7,32.66681667,908.04247,761.754406,6.845622,0,1,0,0.1712455,0
16:50.7,32.83348333,908.0591,761.895087,6.825932,0,1,0,0.1712455,0
17:00.7,33.00015,908.060741,761.899273,6.834992,0,1,0,0.1712455,0
17:10.7,33.16683333,908.054253,762.141016,6.835087,0,1,0,0.1712455,0
17:20.7,33.33348333,908.177748,762.017528,6.832591,0,1,0,0.1712455,0
17:30.7,33.50015,908.163504,762.161648,6.856204,0,1,0,0.1712455,0
17:40.7,33.66681666,908.158955,761.931565,6.866904,0,1,0,0.1712455,0
17:50.7,33.8335,908.150603,762.138774,6.824386,0,1,0,0.1712455,0
18:00.7,34.00016667,908.095269,761.670685,6.798344,0,1,0,0.1712455,0
18:10.7,34.16681666,908.170365,761.452264,6.82452,0,1,0,0.1712455,0
18:20.7,34.3335,908.172155,761.868027,6.779215,0,1,0,0.1712455,0
18:30.7,34.50016667,908.155003,761.696698,6.7938,0,1,0,0.1712455,0
18:40.7,34.66683334,908.181029,761.995402,6.855528,0,1,0,0.1712455,0
18:50.7,34.8335,908.161864,762.007362,6.778621,0,1,0,0.1712455,0
19:00.7,35.00016666,908.191693,761.712247,6.792295,0,1,0,0.1712455,0
19:10.7,35.16683334,908.203252,761.403825,6.841499,0,1,0,0.1712455,0
19:20.7,35.33348333,908.187293,761.733924,6.826137,0,1,0,0.1712455,0
19:30.7,35.50016666,908.168724,761.652446,6.821357,0,1,0,0.1712455,0
19:40.7,35.66685,908.169694,762.035319,6.835197,0,1,0,0.1712455,0
19:50.7,35.8335,908.149633,761.898675,6.829133,0,1,0,0.1712455,0
20:00.7,36.00016667,908.202134,761.699688,6.838407,0,1,0,0.1712455,0
20:10.7,36.16681667,908.233604,761.908243,6.857074,0,1,0,0.1712455,0
20:20.7,36.33351666,908.251502,761.624489,6.808824,0,1,0,0.1712455,0
20:30.7,36.50018334,908.207801,761.913176,6.805828,0,1,0,0.1712455,0
20:40.7,36.66685,908.247475,761.933658,6.852628,0,1,0,0.1712455,0
20:50.7,36.83349999,908.257319,761.737512,6.82207,0,1,0,0.1712455,0
21:00.7,37.0002,908.283121,761.64512,6.823663,0,1,0,0.1712455,0
21:10.7,37.16685,908.316382,761.675469,6.852152,0,1,0,0.1712455,0
21:20.7,37.33351667,908.310192,761.824373,6.793841,0,1,0,0.1712455,0
21:30.7,37.50016667,908.268654,761.632114,6.777526,0,1,0,0.1712455,0
21:40.7,37.66685,908.32011,761.646316,6.825471,0,1,0,0.1712455,0
21:50.7,37.83351667,908.302884,761.766665,6.842355,0,1,0,0.1712455,0
22:00.7,38.00018333,908.270668,761.844854,6.819502,0,1,0,0.1712455,0
22:10.7,38.16683334,908.328761,761.46841,6.838788,0,1,0,0.1712455,0
22:20.7,38.33351667,908.2606,761.686084,6.837861,0,1,0,0.1712455,0
22:30.7,38.50018333,908.311758,761.845751,6.827944,0,1,0,0.1712455,0
22:40.7,38.66685,908.25001,761.618659,6.851938,0,1,0,0.1712455,0
22:50.7,38.83353333,908.323988,761.370785,6.829704,0,1,0,0.1712455,0
23:00.7,39.00018333,908.34733,761.650054,6.824686,0,1,0,0.1712455,0
23:10.7,39.16685,908.313324,761.419373,6.865135,0,1,0,0.1712455,0
23:20.7,39.3335,908.33249,761.503543,6.843734,0,1,0,0.1712455,0
23:30.7,39.5002,908.291548,761.687728,6.839573,0,1,0,0.1712455,0
23:40.7,39.66686667,908.27104,761.309191,6.87769,0,1,0,0.1712455,0
23:50.7,39.83351666,908.33152,761.71733,6.836362,0,1,0,0.1712455,0
24:00.7,40.00018334,908.339723,761.493825,6.836552,0,1,0,0.1712455,0
24:10.7,40.16686667,908.318917,761.743492,6.887154,0,1,0,0.1712455,0
24:20.7,40.33353333,908.351357,761.735569,6.864731,0,1,0,0.1712455,0
24:30.7,40.5002,908.293636,761.553925,6.864636,0,1,0,0.1712455,0
24:40.7,40.66685,908.338754,761.593094,6.914235,0,1,0,0.1712455,0
24:50.7,40.83353334,908.33853,761.577994,6.891647,0,1,0,0.1712455,0
25:00.7,41.00018333,908.313026,761.574556,6.855671,0,1,0,0.1712455,0
25:10.7,41.16686666,908.393342,761.765918,6.885775,0,1,0,0.1712455,0
25:20.7,41.33353334,908.392746,761.812113,6.845589,0,1,0,0.1712455,0
25:30.7,41.5002,908.33249,761.643476,6.841665,0,1,0,0.1712455,0
25:40.7,41.66686667,908.35777,761.849788,6.861997,0,1,0,0.1712455,0
25:50.7,41.83351667,908.353296,761.775785,6.835126,0,1,0,0.1712455,0
26:00.7,42.0002,908.367465,761.929622,6.845565,0,1,0,0.1712455,0
26:10.7,42.16686667,908.371268,762.156864,6.899874,0,1,0,0.1712455,0
26:20.7,42.33353333,908.349791,761.864439,6.860141,0,1,0,0.1712455,0
26:30.7,42.50020001,908.369479,761.8761,6.827135,0,1,0,0.1712455,0
26:40.7,42.66685,908.368285,761.925286,6.853817,0,1,0,0.1712455,0
26:50.7,42.83355,908.357174,761.578293,6.8366,0,1,0,0.1712455,0
27:00.7,43.0002,908.35434,762.091232,6.835506,0,1,0,0.1712455,0
27:10.7,43.16688333,908.383573,761.7713,6.870295,0,1,0,0.1712455,0
27:20.7,43.33355,908.406169,762.026498,6.826683,0,1,0,0.1712455,0
27:30.7,43.5002,908.388048,762.031432,6.815507,0,1,0,0.1712455,0
27:40.7,43.66688333,908.388346,761.943974,6.813301,0,1,0,0.1712455,0
27:50.7,43.83353334,908.39461,761.689821,6.787466,0,1,0,0.1712455,0
28:00.7,44.00021667,908.413105,761.972827,6.847341,0,1,0,0.1712455,0
28:10.7,44.16688333,908.394759,761.981498,6.834204,0,1,0,0.1712455,0
28:20.7,44.33355,908.406766,762.130402,6.805564,0,1,0,0.1712455,0
28:30.7,44.50021667,908.448975,762.264056,6.807063,0,1,0,0.1712455,0
28:40.7,44.66688333,908.376489,761.908392,6.839785,0,1,0,0.1712455,0
28:50.7,44.83355,908.411613,761.73512,6.804732,0,1,0,0.1712455,0
29:00.7,45.0002,908.374028,762.032777,6.787014,0,1,0,0.1712455,0
29:10.7,45.16688334,908.368211,762.181083,6.811439,0,1,0,0.1712455,0
29:20.7,45.33356667,908.478357,762.549006,6.792032,0,1,0,0.1712455,0
29:30.7,45.50021666,908.419742,762.056997,6.787514,0,1,0,0.1712455,0
29:40.7,45.66688334,908.437118,762.264355,6.844898,0,1,0,0.1712455,0
29:50.7,45.83353333,908.444426,762.286182,6.816623,0,1,0,0.1712455,0
30:00.7,46.00023333,908.413627,762.152977,6.809845,0,1,0,0.1712455,0
30:10.7,46.1669,908.410644,762.183026,6.841093,0,1,0,0.1712455,0
30:20.7,46.33355,908.443083,762.150585,6.814839,0,1,0,0.1712455,0
