Time	MFC IN Counter value ls	MFC IN Measure sccm	MFC IN Setpoint sccm	Meter Out Counter value ls	Meter Out Measure ls/min
"?""2022-01-24 17:29:56.045"""	18.02188	76.17232	75	4.608363	0
"?""2022-01-24 17:30:56.050"""	18.10234	74.79463	75	4.626178	0
"?""2022-01-24 17:31:56.038"""	18.18276	77.13381	75	4.655144	0
"?""2022-01-24 17:32:56.042"""	18.26321	76.52567	75	4.67558	0.07945027
"?""2022-01-24 17:33:56.029"""	18.34361	76.69904	75	4.707539	0
"?""2022-01-24 17:34:56.017"""	18.42404	75.21841	75	4.721429	0
"?""2022-01-24 17:35:56.010"""	18.50449	74.58768	75	4.743855	0.07230621
"?""2022-01-24 17:36:56.008"""	18.58492	75.32327	75	4.777577	0
"?""2022-01-24 17:37:56.013"""	18.66536	74.42262	75	4.79561	0
"?""2022-01-24 17:38:56.000"""	18.74575	74.36402	75	4.817828	0
"?""2022-01-24 17:39:55.988"""	18.82615	74.20528	75	4.831807	0.05912057
"?""2022-01-24 17:40:55.978"""	18.90664	75.62252	75	4.858614	0.06702089
"?""2022-01-24 17:41:55.980"""	18.98704	74.80369	75	4.875106	0
"?""2022-01-24 17:42:55.983"""	19.0675	74.86785	75	4.898047	0
"?""2022-01-24 17:43:55.975"""	19.14793	77.31739	75	4.926366	0.06588151
"?""2022-01-24 17:44:55.977"""	19.22842	75.19195	75	4.952408	0.05765047
"?""2022-01-24 17:45:55.963"""	19.30891	75.19541	75	4.979586	0
"?""2022-01-24 17:46:55.967"""	19.3894	75.07046	75	4.997884	0.05635051
"?""2022-01-24 17:47:55.955"""	19.46988	75.00601	75	5.019157	0
"?""2022-01-24 17:48:55.943"""	19.55032	75.12306	75	5.047074	0.05163431
"?""2022-01-24 17:49:55.946"""	19.63089	75.53958	75	5.048459	0.07714441
"?""2022-01-24 17:50:55.934"""	19.71127	75.10881	75	5.082425	0
"?""2022-01-24 17:51:55.938"""	19.79185	75.17018	75	5.100824	0.06465112
"?""2022-01-24 17:52:55.926"""	19.87232	75.93377	75	5.120818	0.07833009
"?""2022-01-24 17:53:55.931"""	19.95283	75.12376	75	5.14764	0.07042014
"?""2022-01-24 17:54:55.934"""	20.03331	74.94157	75	5.174633	0.0546231
"?""2022-01-24 17:55:55.923"""	20.11382	75.0237	75	5.190655	0.004808899
"?""2022-01-24 17:56:55.926"""	20.1943	75.20739	75	5.206985	0
"?""2022-01-24 17:57:55.914"""	20.27476	75.20158	75	5.241255	0.0551275
"?""2022-01-24 17:58:55.902"""	20.35523	74.97623	75	5.265283	0.05059189
"?""2022-01-24 17:59:55.890"""	20.43573	74.89409	75	5.269023	0
"?""2022-01-24 18:00:55.893"""	20.51619	75.03169	75	5.29795	0.03156133
"?""2022-01-24 18:01:55.880"""	20.59663	75.77911	75	5.322675	0
"?""2022-01-24 18:02:55.885"""	20.67714	75.93215	75	5.344911	0
"?""2022-01-24 18:03:55.873"""	20.75765	75.06586	75	5.359021	0
"?""2022-01-24 18:04:55.865"""	20.83807	75.21586	75	5.388052	0.06006808
"?""2022-01-24 18:05:55.864"""	20.91853	75.14571	75	5.407362	0
"?""2022-01-24 18:06:55.868"""	20.99903	75.10865	75	5.433261	0.0561058
"?""2022-01-24 18:07:55.858"""	21.0795	74.69607	75	5.450536	0.06119402
"?""2022-01-24 18:08:55.861"""	21.15994	75.17728	75	5.472165	0
"?""2022-01-24 18:09:55.864"""	21.24042	75.15058	75	5.488291	0
"?""2022-01-24 18:10:55.869"""	21.3209	75.44899	75	5.509541	0
"?""2022-01-24 18:11:55.858"""	21.40131	75.15871	75	5.542943	0
"?""2022-01-24 18:12:55.844"""	21.48178	75.04631	75	5.573175	0
"?""2022-01-24 18:13:55.848"""	21.56223	75.27814	75	5.584348	0.04922724
"?""2022-01-24 18:14:55.852"""	21.64273	75.16766	75	5.602801	0
"?""2022-01-24 18:15:55.840"""	21.72316	75.39784	75	5.621303	0
"?""2022-01-24 18:16:55.845"""	21.80365	74.74506	75	5.639217	0
