27:13.5,,,,,,,,,,,,
,,,,,,,,,,,,
Time Stamp,Inlet Pressure (psia),Outlet Pressure (psia),Slim Tube 1 (C),Slim Tube 2 (C),Slim Tube 3 (C),Slim Tube 4 (C),Slim Tube 5 (C),Room Temp. (C), Box Temp (C),Excitation Voltage (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC)Top Confining Temp (VDC)
18:13.7,1148.342274,1012.754885,-9999,6.466917,5.557289,0,0,0,0,1.933298,1.409199,0
21:13.7,1148.27572,1012.710192,-9999,6.482646,5.56924,0,0,0,0,1.933245,1.409181,0
24:13.7,1148.241735,1012.738747,-9999,6.479088,5.527837,0,0,0,0,1.933218,1.409192,0
27:13.7,1148.119694,1012.571347,-9999,6.518884,5.56759,0,0,0,0,1.93312,1.409126,0
30:13.7,1148.057611,1012.520243,-9999,6.530754,5.621152,0,0,0,0,1.933071,1.409105,0
33:13.7,1148.012982,1012.642676,-9999,6.499687,5.483735,0,0,0,0,1.933035,1.409154,0
36:13.7,1147.810882,1012.501223,-9999,6.493748,5.542301,0,0,0,0,1.932874,1.409098,0
39:13.7,1147.754806,1012.552402,-9999,6.521375,5.571324,0,0,0,0,1.932829,1.409118,0
42:13.7,1147.841171,1012.692535,-9999,6.492091,5.535249,0,0,0,0,1.932898,1.409174,0
45:13.7,1147.898498,1012.691455,-9999,6.548147,5.579207,0,0,0,0,1.932944,1.409174,0
48:13.7,1147.752129,1012.608839,-9999,6.48449,5.495745,0,0,0,0,1.932827,1.409141,0
51:13.7,1147.525738,1012.578307,-9999,6.478379,5.502673,0,0,0,0,1.932646,1.409129,0
54:13.7,1147.450041,1012.676588,-9999,6.465408,5.553026,0,0,0,0,1.932585,1.409168,0
57:13.7,1147.845331,1013.333663,-9999,6.544988,6.045348,0,0,0,0,1.932901,1.40943,0
00:13.7,1148.561547,1014.825014,-9999,7.023706,6.226884,0,0,0,0,1.933474,1.410024,0
03:13.7,1147.259189,1013.908387,-9999,6.982935,5.284527,0,0,0,0,1.932433,1.409659,0
06:13.7,1146.107744,1013.183073,-9999,6.844663,5.452956,0,0,0,0,1.931512,1.40937,0
09:13.7,1145.795513,1012.906571,-9999,6.739905,5.458374,0,0,0,0,1.931263,1.409259,0
12:13.7,1145.820073,1013.010898,-9999,6.702599,5.48741,0,0,0,0,1.931282,1.409301,0
15:13.7,1145.981315,1012.992268,-9999,6.650615,5.569813,0,0,0,0,1.931411,1.409294,0
18:13.7,1146.324382,1013.145549,-9999,6.601107,5.553001,0,0,0,0,1.931686,1.409355,0
21:13.7,1146.555696,1013.353247,-9999,6.56371,5.569151,0,0,0,0,1.93187,1.409437,0
24:13.7,1146.709609,1013.258796,-9999,6.539547,5.515763,0,0,0,0,1.931993,1.4094,0
27:13.7,1146.858385,1013.409618,-9999,6.480872,5.54084,0,0,0,0,1.932112,1.40946,0
30:13.7,1147.030685,1013.578812,-9999,6.437994,5.54691,0,0,0,0,1.93225,1.409527,0
33:13.7,1147.344212,1013.749277,-9999,6.463354,5.566041,0,0,0,0,1.932501,1.409595,0
36:13.7,1147.429003,1013.585548,-9999,6.455058,5.579569,0,0,0,0,1.932568,1.40953,0
39:13.7,1147.451251,1013.76828,-9999,6.469727,5.531672,0,0,0,0,1.932586,1.409603,0
42:13.7,1147.437305,1013.664717,-9999,6.459408,5.535281,0,0,0,0,1.932575,1.409562,0
