"Time","MFC in Counter value ls","MFC in Measure ccs/min","MFC in Setpoint ccs/min","Meter Out Counter value ls","Meter Out Measure ccs/min"
﻿"2022-05-20 13:52:07.405",17.35679,75.04459,75,15.54364,75.04956
﻿"2022-05-20 13:53:07.390",17.43175,74.97104,75,15.61814,73.73898
﻿"2022-05-20 13:54:07.394",17.50674,74.95745,75,15.69137,72.99659
﻿"2022-05-20 13:55:07.381",17.58173,75.02369,75,15.76477,75.49281
﻿"2022-05-20 13:56:07.386",17.6567,74.96721,75,15.84545,90.64979
﻿"2022-05-20 13:57:07.391",17.73171,74.98075,75,15.92617,76.69267
﻿"2022-05-20 13:58:07.380",17.8067,74.99239,75,16.00215,75.45911
﻿"2022-05-20 13:59:07.382",17.88171,74.9694,75,16.07728,74.35896
﻿"2022-05-20 14:00:07.369",17.95667,74.98273,75,16.15092,73.37629
﻿"2022-05-20 14:01:07.374",18.03169,74.98853,75,16.22375,73.0982
﻿"2022-05-20 14:02:07.365",18.10667,74.9875,75,16.29955,76.99017
﻿"2022-05-20 14:03:07.365",18.18168,74.98833,75,16.3826,85.66243
﻿"2022-05-20 14:04:07.369",18.25666,74.97753,75,16.46227,77.12798
﻿"2022-05-20 14:05:07.374",18.33165,74.98056,75,16.53829,75.35448
﻿"2022-05-20 14:06:07.364",18.40662,74.94232,75,16.61301,74.49623
